number,kase,gender,numeralized,kase_name,gender_name
9,5,0,девяти,loct,masc
9,5,1,девяти,loct,femn
10,0,0,десять,nomn,masc
10,0,1,десять,nomn,femn
10,1,0,десяти,gent,masc
10,1,1,десяти,gent,femn
10,2,0,десяти,datv,masc
10,2,1,десяти,datv,femn
10,3,0,десять,accs,masc
10,3,1,десять,accs,femn
10,4,0,десятью,ablt,masc
10,4,1,десятью,ablt,femn
10,5,0,десяти,loct,masc
10,5,1,десяти,loct,femn
11,0,0,одиннадцать,nomn,masc
11,0,1,одиннадцать,nomn,femn
11,1,0,одиннадцати,gent,masc
11,1,1,одиннадцати,gent,femn
11,2,0,одиннадцати,datv,masc
11,2,1,одиннадцати,datv,femn
11,3,0,одиннадцать,accs,masc
11,3,1,одиннадцать,accs,femn
11,4,0,одиннадцатью,ablt,masc
11,4,1,одиннадцатью,ablt,femn
11,5,0,одиннадцати,loct,masc
11,5,1,одиннадцати,loct,femn
12,0,0,двенадцать,nomn,masc
12,0,1,двенадцать,nomn,femn
12,1,0,двенадцати,gent,masc
12,1,1,двенадцати,gent,femn
12,2,0,двенадцати,datv,masc
12,2,1,двенадцати,datv,femn
12,3,0,двенадцать,accs,masc
12,3,1,двенадцать,accs,femn
12,4,0,двенадцатью,ablt,masc
12,4,1,двенадцатью,ablt,femn
12,5,0,двенадцати,loct,masc
12,5,1,двенадцати,loct,femn
13,0,0,тринадцать,nomn,masc
13,0,1,тринадцать,nomn,femn
13,1,0,тринадцати,gent,masc
13,1,1,тринадцати,gent,femn
13,2,0,тринадцати,datv,masc
13,2,1,тринадцати,datv,femn
13,3,0,тринадцать,accs,masc
13,3,1,тринадцать,accs,femn
13,4,0,тринадцатью,ablt,masc
13,4,1,тринадцатью,ablt,femn
13,5,0,тринадцати,loct,masc
13,5,1,тринадцати,loct,femn
14,0,0,четырнадцать,nomn,masc
14,0,1,четырнадцать,nomn,femn
14,1,0,четырнадцати,gent,masc
14,1,1,четырнадцати,gent,femn
14,2,0,четырнадцати,datv,masc
14,2,1,четырнадцати,datv,femn
14,3,0,четырнадцать,accs,masc
14,3,1,четырнадцать,accs,femn
14,4,0,четырнадцатью,ablt,masc
14,4,1,четырнадцатью,ablt,femn
14,5,0,четырнадцати,loct,masc
14,5,1,четырнадцати,loct,femn
15,0,0,пятнадцать,nomn,masc
15,0,1,пятнадцать,nomn,femn
15,1,0,пятнадцати,gent,masc
15,1,1,пятнадцати,gent,femn
15,2,0,пятнадцати,datv,masc
15,2,1,пятнадцати,datv,femn
15,3,0,пятнадцать,accs,masc
15,3,1,пятнадцать,accs,femn
15,4,0,пятнадцатью,ablt,masc
15,4,1,пятнадцатью,ablt,femn
15,5,0,пятнадцати,loct,masc
15,5,1,пятнадцати,loct,femn
16,0,0,шестнадцать,nomn,masc
16,0,1,шестнадцать,nomn,femn
16,1,0,шестнадцати,gent,masc
16,1,1,шестнадцати,gent,femn
16,2,0,шестнадцати,datv,masc
16,2,1,шестнадцати,datv,femn
16,3,0,шестнадцать,accs,masc
16,3,1,шестнадцать,accs,femn
16,4,0,шестнадцатью,ablt,masc
16,4,1,шестнадцатью,ablt,femn
16,5,0,шестнадцати,loct,masc
16,5,1,шестнадцати,loct,femn
17,0,0,семнадцать,nomn,masc
17,0,1,семнадцать,nomn,femn
17,1,0,семнадцати,gent,masc
17,1,1,семнадцати,gent,femn
17,2,0,семнадцати,datv,masc
17,2,1,семнадцати,datv,femn
17,3,0,семнадцать,accs,masc
17,3,1,семнадцать,accs,femn
17,4,0,семнадцатью,ablt,masc
17,4,1,семнадцатью,ablt,femn
17,5,0,семнадцати,loct,masc
17,5,1,семнадцати,loct,femn
18,0,0,восемнадцать,nomn,masc
18,0,1,восемнадцать,nomn,femn
18,1,0,восемнадцати,gent,masc
18,1,1,восемнадцати,gent,femn
18,2,0,восемнадцати,datv,masc
18,2,1,восемнадцати,datv,femn
18,3,0,восемнадцать,accs,masc
18,3,1,восемнадцать,accs,femn
18,4,0,восемнадцатью,ablt,masc
18,4,1,восемнадцатью,ablt,femn
18,5,0,восемнадцати,loct,masc
18,5,1,восемнадцати,loct,femn
19,0,0,девятнадцать,nomn,masc
19,0,1,девятнадцать,nomn,femn
19,1,0,девятнадцати,gent,masc
19,1,1,девятнадцати,gent,femn
19,2,0,девятнадцати,datv,masc
19,2,1,девятнадцати,datv,femn
19,3,0,девятнадцать,accs,masc
19,3,1,девятнадцать,accs,femn
19,4,0,девятнадцатью,ablt,masc
19,4,1,девятнадцатью,ablt,femn
19,5,0,девятнадцати,loct,masc
19,5,1,девятнадцати,loct,femn
20,0,0,двадцать,nomn,masc
20,0,1,двадцать,nomn,femn
20,1,0,двадцати,gent,masc
20,1,1,двадцати,gent,femn
20,2,0,двадцати,datv,masc
20,2,1,двадцати,datv,femn
20,3,0,двадцать,accs,masc
20,3,1,двадцать,accs,femn
20,4,0,двадцатью,ablt,masc
20,4,1,двадцатью,ablt,femn
20,5,0,двадцати,loct,masc
20,5,1,двадцати,loct,femn
21,0,0,двадцать один,nomn,masc
21,0,1,двадцать одна,nomn,femn
21,1,0,двадцати одного,gent,masc
21,1,1,двадцати одной,gent,femn
21,2,0,двадцати одному,datv,masc
21,2,1,двадцати одной,datv,femn
21,3,0,двадцать один,accs,masc
21,3,1,двадцать одну,accs,femn
21,4,0,двадцатью одним,ablt,masc
21,4,1,двадцатью одной,ablt,femn
21,5,0,двадцати одном,loct,masc
21,5,1,двадцати одной,loct,femn
22,0,0,двадцать два,nomn,masc
22,0,1,двадцать две,nomn,femn
22,1,0,двадцати двух,gent,masc
22,1,1,двадцати двух,gent,femn
22,2,0,двадцати двум,datv,masc
22,2,1,двадцати двум,datv,femn
22,3,0,двадцать два,accs,masc
22,3,1,двадцать две,accs,femn
22,4,0,двадцатью двумя,ablt,masc
22,4,1,двадцатью двумя,ablt,femn
22,5,0,двадцати двух,loct,masc
22,5,1,двадцати двух,loct,femn
23,0,0,двадцать три,nomn,masc
23,0,1,двадцать три,nomn,femn
23,1,0,двадцати трёх,gent,masc
23,1,1,двадцати трёх,gent,femn
23,2,0,двадцати трём,datv,masc
23,2,1,двадцати трём,datv,femn
23,3,0,двадцать три,accs,masc
23,3,1,двадцать три,accs,femn
23,4,0,двадцатью тремя,ablt,masc
23,4,1,двадцатью тремя,ablt,femn
23,5,0,двадцати трёх,loct,masc
23,5,1,двадцати трёх,loct,femn
24,0,0,двадцать четыре,nomn,masc
24,0,1,двадцать четыре,nomn,femn
24,1,0,двадцати четырёх,gent,masc
24,1,1,двадцати четырёх,gent,femn
24,2,0,двадцати четырём,datv,masc
24,2,1,двадцати четырём,datv,femn
24,3,0,двадцать четыре,accs,masc
24,3,1,двадцать четыре,accs,femn
24,4,0,двадцатью четырьмя,ablt,masc
24,4,1,двадцатью четырьмя,ablt,femn
24,5,0,двадцати четырёх,loct,masc
24,5,1,двадцати четырёх,loct,femn
25,0,0,двадцать пять,nomn,masc
25,0,1,двадцать пять,nomn,femn
25,1,0,двадцати пяти,gent,masc
25,1,1,двадцати пяти,gent,femn
25,2,0,двадцати пяти,datv,masc
25,2,1,двадцати пяти,datv,femn
25,3,0,двадцать пять,accs,masc
25,3,1,двадцать пять,accs,femn
25,4,0,двадцатью пятью,ablt,masc
25,4,1,двадцатью пятью,ablt,femn
25,5,0,двадцати пяти,loct,masc
25,5,1,двадцати пяти,loct,femn
26,0,0,двадцать шесть,nomn,masc
26,0,1,двадцать шесть,nomn,femn
26,1,0,двадцати шести,gent,masc
26,1,1,двадцати шести,gent,femn
26,2,0,двадцати шести,datv,masc
26,2,1,двадцати шести,datv,femn
26,3,0,двадцать шесть,accs,masc
26,3,1,двадцать шесть,accs,femn
26,4,0,двадцатью шестью,ablt,masc
26,4,1,двадцатью шестью,ablt,femn
26,5,0,двадцати шести,loct,masc
26,5,1,двадцати шести,loct,femn
27,0,0,двадцать семь,nomn,masc
27,0,1,двадцать семь,nomn,femn
27,1,0,двадцати семи,gent,masc
27,1,1,двадцати семи,gent,femn
27,2,0,двадцати семи,datv,masc
27,2,1,двадцати семи,datv,femn
27,3,0,двадцать семь,accs,masc
27,3,1,двадцать семь,accs,femn
27,4,0,двадцатью семью,ablt,masc
27,4,1,двадцатью семью,ablt,femn
27,5,0,двадцати семи,loct,masc
27,5,1,двадцати семи,loct,femn
28,0,0,двадцать восемь,nomn,masc
28,0,1,двадцать восемь,nomn,femn
28,1,0,двадцати восьми,gent,masc
28,1,1,двадцати восьми,gent,femn
28,2,0,двадцати восьми,datv,masc
28,2,1,двадцати восьми,datv,femn
28,3,0,двадцать восемь,accs,masc
28,3,1,двадцать восемь,accs,femn
28,4,0,двадцатью восемью,ablt,masc
28,4,1,двадцатью восемью,ablt,femn
28,5,0,двадцати восьми,loct,masc
28,5,1,двадцати восьми,loct,femn
29,0,0,двадцать девять,nomn,masc
29,0,1,двадцать девять,nomn,femn
29,1,0,двадцати девяти,gent,masc
29,1,1,двадцати девяти,gent,femn
29,2,0,двадцати девяти,datv,masc
29,2,1,двадцати девяти,datv,femn
29,3,0,двадцать девять,accs,masc
29,3,1,двадцать девять,accs,femn
29,4,0,двадцатью девятью,ablt,masc
29,4,1,двадцатью девятью,ablt,femn
29,5,0,двадцати девяти,loct,masc
29,5,1,двадцати девяти,loct,femn
30,0,0,тридцать,nomn,masc
30,0,1,тридцать,nomn,femn
30,1,0,тридцати,gent,masc
30,1,1,тридцати,gent,femn
30,2,0,тридцати,datv,masc
30,2,1,тридцати,datv,femn
30,3,0,тридцать,accs,masc
30,3,1,тридцать,accs,femn
30,4,0,тридцатью,ablt,masc
30,4,1,тридцатью,ablt,femn
30,5,0,тридцати,loct,masc
30,5,1,тридцати,loct,femn
31,0,0,тридцать один,nomn,masc
31,0,1,тридцать одна,nomn,femn
31,1,0,тридцати одного,gent,masc
31,1,1,тридцати одной,gent,femn
31,2,0,тридцати одному,datv,masc
31,2,1,тридцати одной,datv,femn
31,3,0,тридцать один,accs,masc
31,3,1,тридцать одну,accs,femn
31,4,0,тридцатью одним,ablt,masc
31,4,1,тридцатью одной,ablt,femn
31,5,0,тридцати одном,loct,masc
31,5,1,тридцати одной,loct,femn
32,0,0,тридцать два,nomn,masc
32,0,1,тридцать две,nomn,femn
32,1,0,тридцати двух,gent,masc
32,1,1,тридцати двух,gent,femn
32,2,0,тридцати двум,datv,masc
32,2,1,тридцати двум,datv,femn
32,3,0,тридцать два,accs,masc
32,3,1,тридцать две,accs,femn
32,4,0,тридцатью двумя,ablt,masc
32,4,1,тридцатью двумя,ablt,femn
32,5,0,тридцати двух,loct,masc
32,5,1,тридцати двух,loct,femn
33,0,0,тридцать три,nomn,masc
33,0,1,тридцать три,nomn,femn
33,1,0,тридцати трёх,gent,masc
33,1,1,тридцати трёх,gent,femn
33,2,0,тридцати трём,datv,masc
33,2,1,тридцати трём,datv,femn
33,3,0,тридцать три,accs,masc
33,3,1,тридцать три,accs,femn
33,4,0,тридцатью тремя,ablt,masc
33,4,1,тридцатью тремя,ablt,femn
33,5,0,тридцати трёх,loct,masc
33,5,1,тридцати трёх,loct,femn
34,0,0,тридцать четыре,nomn,masc
34,0,1,тридцать четыре,nomn,femn
34,1,0,тридцати четырёх,gent,masc
34,1,1,тридцати четырёх,gent,femn
34,2,0,тридцати четырём,datv,masc
34,2,1,тридцати четырём,datv,femn
34,3,0,тридцать четыре,accs,masc
34,3,1,тридцать четыре,accs,femn
34,4,0,тридцатью четырьмя,ablt,masc
34,4,1,тридцатью четырьмя,ablt,femn
34,5,0,тридцати четырёх,loct,masc
34,5,1,тридцати четырёх,loct,femn
35,0,0,тридцать пять,nomn,masc
35,0,1,тридцать пять,nomn,femn
35,1,0,тридцати пяти,gent,masc
35,1,1,тридцати пяти,gent,femn
35,2,0,тридцати пяти,datv,masc
35,2,1,тридцати пяти,datv,femn
35,3,0,тридцать пять,accs,masc
35,3,1,тридцать пять,accs,femn
35,4,0,тридцатью пятью,ablt,masc
35,4,1,тридцатью пятью,ablt,femn
35,5,0,тридцати пяти,loct,masc
35,5,1,тридцати пяти,loct,femn
36,0,0,тридцать шесть,nomn,masc
36,0,1,тридцать шесть,nomn,femn
36,1,0,тридцати шести,gent,masc
36,1,1,тридцати шести,gent,femn
36,2,0,тридцати шести,datv,masc
36,2,1,тридцати шести,datv,femn
36,3,0,тридцать шесть,accs,masc
36,3,1,тридцать шесть,accs,femn
36,4,0,тридцатью шестью,ablt,masc
36,4,1,тридцатью шестью,ablt,femn
36,5,0,тридцати шести,loct,masc
36,5,1,тридцати шести,loct,femn
37,0,0,тридцать семь,nomn,masc
37,0,1,тридцать семь,nomn,femn
37,1,0,тридцати семи,gent,masc
37,1,1,тридцати семи,gent,femn
37,2,0,тридцати семи,datv,masc
37,2,1,тридцати семи,datv,femn
37,3,0,тридцать семь,accs,masc
37,3,1,тридцать семь,accs,femn
37,4,0,тридцатью семью,ablt,masc
37,4,1,тридцатью семью,ablt,femn
37,5,0,тридцати семи,loct,masc
37,5,1,тридцати семи,loct,femn
38,0,0,тридцать восемь,nomn,masc
38,0,1,тридцать восемь,nomn,femn
38,1,0,тридцати восьми,gent,masc
38,1,1,тридцати восьми,gent,femn
38,2,0,тридцати восьми,datv,masc
38,2,1,тридцати восьми,datv,femn
38,3,0,тридцать восемь,accs,masc
38,3,1,тридцать восемь,accs,femn
38,4,0,тридцатью восемью,ablt,masc
38,4,1,тридцатью восемью,ablt,femn
38,5,0,тридцати восьми,loct,masc
38,5,1,тридцати восьми,loct,femn
39,0,0,тридцать девять,nomn,masc
39,0,1,тридцать девять,nomn,femn
39,1,0,тридцати девяти,gent,masc
39,1,1,тридцати девяти,gent,femn
39,2,0,тридцати девяти,datv,masc
39,2,1,тридцати девяти,datv,femn
39,3,0,тридцать девять,accs,masc
39,3,1,тридцать девять,accs,femn
39,4,0,тридцатью девятью,ablt,masc
39,4,1,тридцатью девятью,ablt,femn
39,5,0,тридцати девяти,loct,masc
39,5,1,тридцати девяти,loct,femn
40,0,0,сорок,nomn,masc
40,0,1,сорок,nomn,femn
40,1,0,сорока,gent,masc
40,1,1,сорока,gent,femn
40,2,0,сорока,datv,masc
40,2,1,сорока,datv,femn
40,3,0,сорок,accs,masc
40,3,1,сорок,accs,femn
40,4,0,сорока,ablt,masc
40,4,1,сорока,ablt,femn
40,5,0,сорока,loct,masc
40,5,1,сорока,loct,femn
41,0,0,сорок один,nomn,masc
41,0,1,сорок одна,nomn,femn
41,1,0,сорока одного,gent,masc
41,1,1,сорока одной,gent,femn
41,2,0,сорока одному,datv,masc
41,2,1,сорока одной,datv,femn
41,3,0,сорок один,accs,masc
41,3,1,сорок одну,accs,femn
41,4,0,сорока одним,ablt,masc
41,4,1,сорока одной,ablt,femn
41,5,0,сорока одном,loct,masc
41,5,1,сорока одной,loct,femn
42,0,0,сорок два,nomn,masc
42,0,1,сорок две,nomn,femn
42,1,0,сорока двух,gent,masc
42,1,1,сорока двух,gent,femn
42,2,0,сорока двум,datv,masc
42,2,1,сорока двум,datv,femn
42,3,0,сорок два,accs,masc
42,3,1,сорок две,accs,femn
42,4,0,сорока двумя,ablt,masc
42,4,1,сорока двумя,ablt,femn
42,5,0,сорока двух,loct,masc
42,5,1,сорока двух,loct,femn
43,0,0,сорок три,nomn,masc
43,0,1,сорок три,nomn,femn
43,1,0,сорока трёх,gent,masc
43,1,1,сорока трёх,gent,femn
43,2,0,сорока трём,datv,masc
43,2,1,сорока трём,datv,femn
43,3,0,сорок три,accs,masc
43,3,1,сорок три,accs,femn
43,4,0,сорока тремя,ablt,masc
43,4,1,сорока тремя,ablt,femn
43,5,0,сорока трёх,loct,masc
43,5,1,сорока трёх,loct,femn
44,0,0,сорок четыре,nomn,masc
44,0,1,сорок четыре,nomn,femn
44,1,0,сорока четырёх,gent,masc
44,1,1,сорока четырёх,gent,femn
44,2,0,сорока четырём,datv,masc
44,2,1,сорока четырём,datv,femn
44,3,0,сорок четыре,accs,masc
44,3,1,сорок четыре,accs,femn
44,4,0,сорока четырьмя,ablt,masc
44,4,1,сорока четырьмя,ablt,femn
44,5,0,сорока четырёх,loct,masc
44,5,1,сорока четырёх,loct,femn
45,0,0,сорок пять,nomn,masc
45,0,1,сорок пять,nomn,femn
45,1,0,сорока пяти,gent,masc
45,1,1,сорока пяти,gent,femn
45,2,0,сорока пяти,datv,masc
45,2,1,сорока пяти,datv,femn
45,3,0,сорок пять,accs,masc
45,3,1,сорок пять,accs,femn
45,4,0,сорока пятью,ablt,masc
45,4,1,сорока пятью,ablt,femn
45,5,0,сорока пяти,loct,masc
45,5,1,сорока пяти,loct,femn
46,0,0,сорок шесть,nomn,masc
46,0,1,сорок шесть,nomn,femn
46,1,0,сорока шести,gent,masc
46,1,1,сорока шести,gent,femn
46,2,0,сорока шести,datv,masc
46,2,1,сорока шести,datv,femn
46,3,0,сорок шесть,accs,masc
46,3,1,сорок шесть,accs,femn
46,4,0,сорока шестью,ablt,masc
46,4,1,сорока шестью,ablt,femn
46,5,0,сорока шести,loct,masc
46,5,1,сорока шести,loct,femn
47,0,0,сорок семь,nomn,masc
47,0,1,сорок семь,nomn,femn
47,1,0,сорока семи,gent,masc
47,1,1,сорока семи,gent,femn
47,2,0,сорока семи,datv,masc
47,2,1,сорока семи,datv,femn
47,3,0,сорок семь,accs,masc
47,3,1,сорок семь,accs,femn
47,4,0,сорока семью,ablt,masc
47,4,1,сорока семью,ablt,femn
47,5,0,сорока семи,loct,masc
47,5,1,сорока семи,loct,femn
48,0,0,сорок восемь,nomn,masc
48,0,1,сорок восемь,nomn,femn
48,1,0,сорока восьми,gent,masc
48,1,1,сорока восьми,gent,femn
48,2,0,сорока восьми,datv,masc
48,2,1,сорока восьми,datv,femn
48,3,0,сорок восемь,accs,masc
48,3,1,сорок восемь,accs,femn
48,4,0,сорока восемью,ablt,masc
48,4,1,сорока восемью,ablt,femn
48,5,0,сорока восьми,loct,masc
48,5,1,сорока восьми,loct,femn
49,0,0,сорок девять,nomn,masc
49,0,1,сорок девять,nomn,femn
49,1,0,сорока девяти,gent,masc
49,1,1,сорока девяти,gent,femn
49,2,0,сорока девяти,datv,masc
49,2,1,сорока девяти,datv,femn
49,3,0,сорок девять,accs,masc
49,3,1,сорок девять,accs,femn
49,4,0,сорока девятью,ablt,masc
49,4,1,сорока девятью,ablt,femn
49,5,0,сорока девяти,loct,masc
49,5,1,сорока девяти,loct,femn
50,0,0,пятьдесят,nomn,masc
50,0,1,пятьдесят,nomn,femn
50,1,0,пятидесяти,gent,masc
50,1,1,пятидесяти,gent,femn
50,2,0,пятидесяти,datv,masc
50,2,1,пятидесяти,datv,femn
50,3,0,пятьдесят,accs,masc
50,3,1,пятьдесят,accs,femn
50,4,0,пятьюдесятью,ablt,masc
50,4,1,пятьюдесятью,ablt,femn
50,5,0,пятидесяти,loct,masc
50,5,1,пятидесяти,loct,femn
51,0,0,пятьдесят один,nomn,masc
51,0,1,пятьдесят одна,nomn,femn
51,1,0,пятидесяти одного,gent,masc
51,1,1,пятидесяти одной,gent,femn
51,2,0,пятидесяти одному,datv,masc
51,2,1,пятидесяти одной,datv,femn
51,3,0,пятьдесят один,accs,masc
51,3,1,пятьдесят одну,accs,femn
51,4,0,пятьюдесятью одним,ablt,masc
51,4,1,пятьюдесятью одной,ablt,femn
51,5,0,пятидесяти одном,loct,masc
51,5,1,пятидесяти одной,loct,femn
52,0,0,пятьдесят два,nomn,masc
52,0,1,пятьдесят две,nomn,femn
52,1,0,пятидесяти двух,gent,masc
52,1,1,пятидесяти двух,gent,femn
52,2,0,пятидесяти двум,datv,masc
52,2,1,пятидесяти двум,datv,femn
52,3,0,пятьдесят два,accs,masc
52,3,1,пятьдесят две,accs,femn
52,4,0,пятьюдесятью двумя,ablt,masc
52,4,1,пятьюдесятью двумя,ablt,femn
52,5,0,пятидесяти двух,loct,masc
52,5,1,пятидесяти двух,loct,femn
53,0,0,пятьдесят три,nomn,masc
53,0,1,пятьдесят три,nomn,femn
53,1,0,пятидесяти трёх,gent,masc
53,1,1,пятидесяти трёх,gent,femn
53,2,0,пятидесяти трём,datv,masc
53,2,1,пятидесяти трём,datv,femn
53,3,0,пятьдесят три,accs,masc
53,3,1,пятьдесят три,accs,femn
53,4,0,пятьюдесятью тремя,ablt,masc
53,4,1,пятьюдесятью тремя,ablt,femn
53,5,0,пятидесяти трёх,loct,masc
53,5,1,пятидесяти трёх,loct,femn
54,0,0,пятьдесят четыре,nomn,masc
54,0,1,пятьдесят четыре,nomn,femn
54,1,0,пятидесяти четырёх,gent,masc
54,1,1,пятидесяти четырёх,gent,femn
54,2,0,пятидесяти четырём,datv,masc
54,2,1,пятидесяти четырём,datv,femn
54,3,0,пятьдесят четыре,accs,masc
54,3,1,пятьдесят четыре,accs,femn
54,4,0,пятьюдесятью четырьмя,ablt,masc
54,4,1,пятьюдесятью четырьмя,ablt,femn
54,5,0,пятидесяти четырёх,loct,masc
54,5,1,пятидесяти четырёх,loct,femn
55,0,0,пятьдесят пять,nomn,masc
55,0,1,пятьдесят пять,nomn,femn
55,1,0,пятидесяти пяти,gent,masc
55,1,1,пятидесяти пяти,gent,femn
55,2,0,пятидесяти пяти,datv,masc
55,2,1,пятидесяти пяти,datv,femn
55,3,0,пятьдесят пять,accs,masc
55,3,1,пятьдесят пять,accs,femn
55,4,0,пятьюдесятью пятью,ablt,masc
55,4,1,пятьюдесятью пятью,ablt,femn
55,5,0,пятидесяти пяти,loct,masc
55,5,1,пятидесяти пяти,loct,femn
56,0,0,пятьдесят шесть,nomn,masc
56,0,1,пятьдесят шесть,nomn,femn
56,1,0,пятидесяти шести,gent,masc
56,1,1,пятидесяти шести,gent,femn
56,2,0,пятидесяти шести,datv,masc
56,2,1,пятидесяти шести,datv,femn
56,3,0,пятьдесят шесть,accs,masc
56,3,1,пятьдесят шесть,accs,femn
56,4,0,пятьюдесятью шестью,ablt,masc
56,4,1,пятьюдесятью шестью,ablt,femn
56,5,0,пятидесяти шести,loct,masc
56,5,1,пятидесяти шести,loct,femn
57,0,0,пятьдесят семь,nomn,masc
57,0,1,пятьдесят семь,nomn,femn
57,1,0,пятидесяти семи,gent,masc
57,1,1,пятидесяти семи,gent,femn
57,2,0,пятидесяти семи,datv,masc
57,2,1,пятидесяти семи,datv,femn
57,3,0,пятьдесят семь,accs,masc
57,3,1,пятьдесят семь,accs,femn
57,4,0,пятьюдесятью семью,ablt,masc
57,4,1,пятьюдесятью семью,ablt,femn
57,5,0,пятидесяти семи,loct,masc
57,5,1,пятидесяти семи,loct,femn
58,0,0,пятьдесят восемь,nomn,masc
58,0,1,пятьдесят восемь,nomn,femn
58,1,0,пятидесяти восьми,gent,masc
58,1,1,пятидесяти восьми,gent,femn
58,2,0,пятидесяти восьми,datv,masc
58,2,1,пятидесяти восьми,datv,femn
58,3,0,пятьдесят восемь,accs,masc
58,3,1,пятьдесят восемь,accs,femn
58,4,0,пятьюдесятью восемью,ablt,masc
58,4,1,пятьюдесятью восемью,ablt,femn
58,5,0,пятидесяти восьми,loct,masc
58,5,1,пятидесяти восьми,loct,femn
59,0,0,пятьдесят девять,nomn,masc
59,0,1,пятьдесят девять,nomn,femn
59,1,0,пятидесяти девяти,gent,masc
59,1,1,пятидесяти девяти,gent,femn
59,2,0,пятидесяти девяти,datv,masc
59,2,1,пятидесяти девяти,datv,femn
59,3,0,пятьдесят девять,accs,masc
59,3,1,пятьдесят девять,accs,femn
59,4,0,пятьюдесятью девятью,ablt,masc
59,4,1,пятьюдесятью девятью,ablt,femn
59,5,0,пятидесяти девяти,loct,masc
59,5,1,пятидесяти девяти,loct,femn
60,0,0,шестьдесят,nomn,masc
60,0,1,шестьдесят,nomn,femn
60,1,0,шестидесяти,gent,masc
60,1,1,шестидесяти,gent,femn
60,2,0,шестидесяти,datv,masc
60,2,1,шестидесяти,datv,femn
60,3,0,шестьдесят,accs,masc
60,3,1,шестьдесят,accs,femn
60,4,0,шестьюдесятью,ablt,masc
